,titulo,precio,nRecamaras,m2_construidos,ubicacion,link,imagen,lat,lng
51,"Casa en Venta, Monterrey, Nuevo Leon","$ 9,200,000",3,406,"La Joya, Monterrey",https://www.lamudi.com.mx/casa-en-venta-monterrey-nuevo-leon-684.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/a060928c2dfdcd.jpg,25.555904,-100.2258503
52,La Joya Residencial -CARRETERA NACIONAL- Casa en Venta Monterrey Zona Sur,"$ 10,157,000",3,445,"La Joya, Monterrey",https://www.lamudi.com.mx/la-joya-residencial-carretera-nacional-casa-en-venta-monterrey-zona-sur-2.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/8045e1b431a8fe.jpg,25.555904,-100.2258503
53,La Joya Residencial -CARRETERA NACIONAL- Casa en Venta Monterrey Zona Sur,"$ 10,226,000",3,401,"La Joya, Monterrey",https://www.lamudi.com.mx/la-joya-residencial-carretera-nacional-casa-en-venta-monterrey-zona-sur-1.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/78a9cb85aa93cd.jpg,25.555904,-100.2258503
54,Casa en Venta en La Joya Zona Carr. Nac. (LJGC),"$ 13,500,000",3,400,"La Joya, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-la-joya-zona-carr-nac-ljgc-2.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/709097d95e32d3.jpg,25.555904,-100.2258503
55,Casa En Venta La joya Santiago,"$ 8,950,000",3,354,"La Joya, Monterrey",https://www.lamudi.com.mx/casa-en-venta-la-joya-santiago.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/38bbcce026c2e8.jpg,25.555904,-100.2258503
56,CASA EN PREVENTA LA JOYA RESIDENCIAL PRIVADA CALANDRIA CARRETERA NACIONAL MONTERREY N...,"$ 9,990,000",4,420,"La Joya, Monterrey",https://www.lamudi.com.mx/casa-en-preventa-la-joya-residencial-privada-calandria-carretera-nacional-monterrey-n-l-9-990-000-1.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/ad8c75939e0162.jpg,25.555904,-100.2258503
57,"CASA EN VENTA EN LA JOYA, CARRETERA NACIONAL","$ 13,500,000",4,520,"La Joya, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-la-joya-carretera-nacional-27.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/457495fc620ff4.jpg,25.555904,-100.2258503
58,Casa en Preventa en Calandria,"$ 9,900,000",3,450,"La Joya, Monterrey",https://www.lamudi.com.mx/casa-en-preventa-en-calandria.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/e73babc68b47f9.jpg,25.555904,-100.2258503
59,"Casa en Venta La Joya $11,350,000","$ 11,350,000",3,442,"La Joya, Monterrey",https://www.lamudi.com.mx/casa-en-venta-la-joya-11-350-000.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/71bbe59942c480.jpg,25.555904,-100.2258503
60,Casa en Venta en La Joya- Carretera Nacional,"$ 11,900,000",3,459,"La Joya, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-la-joya-carretera-nacional-23.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/75b9a36564aefb.jpg,25.555904,-100.2258503
61,CASA VENTA MAGNOLIA LA JOYA,"$ 11,850,000",3,426,"La Joya, Monterrey",https://www.lamudi.com.mx/casa-venta-magnolia-la-joya.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/ccb7e759f08c78.jpg,25.555904,-100.2258503
62,"Casa en venta Residencial La Joya, Carretera Nacional.","$ 10,750,000",4,570,"La Joya, Monterrey",https://www.lamudi.com.mx/casa-en-venta-residencial-la-joya-carretera-nacional.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/c51a68566730be.jpg,25.555904,-100.2258503
63,CASA EN LA JOYA,"$ 11,900,000",3,459,"La Joya, Monterrey",https://www.lamudi.com.mx/casa-en-la-joya-4.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/c864665050e7e5.jpg,25.555904,-100.2258503
64,"Hermosa Residencia en Venta en Zona Sur, Carretera Nacional, Privada Magnolia Re","$ 11,850,000",5,471,"La Joya, Monterrey",https://www.lamudi.com.mx/hermosa-residencia-en-venta-en-zona-sur-carretera-nacional-privada-magnolia-re-1.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/b52a4c12cc5ed4.jpg,25.555904,-100.2258503
65,"PRE VENTA EN CARRETERA NACIONAL, PRIVADA LORETO","$ 10,650,000",4,495,"La Joya, Monterrey",https://www.lamudi.com.mx/pre-venta-en-carretera-nacional-privada-loreto.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/18c67ffdc09c72.jpg,25.555904,-100.2258503
66,"Casa Nueva en Venta en La Joya, Monterrey, N.L.","$ 14,700,000",4,500,"La Joya, Monterrey",https://www.lamudi.com.mx/casa-nueva-en-venta-en-la-joya-monterrey-n-l.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/4296fb5449678c.jpg,25.555904,-100.2258503
